sex,birth_year_group,25,30,35,40
female,"(1950,1955]",NA,NA,NA,344/104 (0.77)
female,"(1955,1960]",NA,NA,405/85 (0.83),522/91 (0.85)
female,"(1960,1965]",NA,486/112 (0.81),662/95 (0.87),817/131 (0.86)
female,"(1965,1970]",381/119 (0.76),557/100 (0.85),798/125 (0.86),389/56 (0.87)
female,"(1970,1975]",508/93 (0.85),685/116 (0.86),364/44 (0.89),NA
female,"(1975,1980]",578/141 (0.8),318/45 (0.88),NA,NA
female,"(1980,1985]",252/67 (0.79),NA,NA,NA
male,"(1950,1955]",NA,NA,NA,371/56 (0.87)
male,"(1955,1960]",NA,NA,444/57 (0.89),547/48 (0.92)
male,"(1960,1965]",NA,456/50 (0.9),579/43 (0.93),756/61 (0.93)
male,"(1965,1970]",408/60 (0.87),517/48 (0.92),723/72 (0.91),377/41 (0.9)
male,"(1970,1975]",509/70 (0.88),648/67 (0.91),333/17 (0.95),NA
male,"(1975,1980]",539/102 (0.84),259/26 (0.91),NA,NA
male,"(1980,1985]",227/64 (0.78),NA,NA,NA
NA,"(1965,1970]",NA,NA,NA,36/2 (0.95)
NA,"(1970,1975]",NA,NA,36/1 (0.97),NA
NA,"(1975,1980]",NA,23/3 (0.88),NA,NA
NA,"(1980,1985]",25/2 (0.93),NA,NA,NA
